Section,Question,English,Sección,Pregunta,Spanish
Gifts,1,I seek opportunities to talk about spiritual matters with unbelievers.,Dones,1,Busco oportunidades para hablar de asuntos espirituales con personas no creyentes.
Gifts,2,I sometimes feel that I know exactly what God wants to do.,Dones,2,A veces siento que sé exactamente lo que Dios quiere hacer.
Gifts,3,Studying the Bible and sharing my insights with others is very satisfying.,Dones,3,Estudiar la Biblia y compartir mis conocimientos con los demás es muy satisfactorio.
Gifts,4,I tend to see the potential in people.,Dones,4,Tiendo a ver el potencial en las personas.
Gifts,5,I enjoy celebrating with people in their successes and supporting them through their challenges.,Dones,5,Disfruto celebrar con las personas sus éxitos y apoyarlos en sus desafíos.
Gifts,6,I enjoy bringing hope and joy to people living in difficult circumstances.,Dones,6,Disfruto llevar esperanza y alegría a las personas que viven en circunstancias difíciles.
Gifts,7,I like to meet needs immediately.,Dones,7,Me gusta satisfacer las necesidades de inmediato.
Gifts,8,I like knowing that my financial support makes a real difference in God's kingdom.,Dones,8,Me gusta saber que mi apoyo financiero hace una diferencia real en el reino de Dios.
Gifts,9,"I enjoy handling the details of organizing ideas, people, resources & time for more effective ministry.",Dones,9,"Disfruto manejar los detalles de organizar ideas, personas, recursos y tiempo para un ministerio más efectivo."
Gifts,10,I am able to motivate others to accomplish a goal.,Dones,10,Soy capaz de motivar a otros para lograr una meta.
Gifts,11,I have applied spiritual truth effectively to situations in my own life.,Dones,11,He aplicado verdades espirituales de manera efectiva a situaciones en mi propia vida.
Gifts,12,People have told me that the insights I shared with them helped move them closer to God.,Dones,12,La gente me ha dicho que las ideas que compartí con ellos les ayudaron a acercarse a Dios.
Gifts,13,"I can readily distinguish between spiritual truth and error, good and evil.",Dones,13,"Puedo distinguir fácilmente entre la verdad espiritual y el error, el bien y el mal."
Gifts,14,I would like to start churches in places where they do not presently exist.,Dones,14,Me gustaría comenzar iglesias en lugares donde actualmente no existen.
Gifts,15,Praying for others is one of my favorite ways of spending time.,Dones,15,Orar por los demás es una de mis formas favoritas de pasar el tiempo.
Gifts,16,"I enjoy working creatively with wood, cloth, paints, metal, glass or other materials.",Dones,16,"Disfruto trabajando creativamente con madera, tela, pinturas, metal, vidrio u otros materiales."
Gifts,17,I find that I best communicate and understand God's truth through artistic expressions.,Dones,17,Encuentro que comunico y entiendo mejor la verdad de Dios a través de expresiones artísticas.
Gifts,18,I find it natural and easy to trust God to answer my prayers.,Dones,18,Encuentro natural y fácil confiar en que Dios responderá a mis oraciones.
Gifts,19,I can make people feel at ease even in unfamiliar surroundings.,Dones,19,Puedo hacer que la gente se sienta cómoda incluso en un entorno desconocido.
Gifts,20,I look for opportunities to build relationships with people who do not know Jesus.,Dones,20,Busco oportunidades para construir relaciones con personas que no conocen a Jesús.
Gifts,21,People often change how they live when I share God’s truth with them.,Dones,21,La gente a menudo cambia su forma de vivir cuando comparto la verdad de Dios con ellos.
Gifts,22,People “get it” when I explain God's word to them.,Dones,22,La gente “entiende” cuando les explico la palabra de Dios.
Gifts,23,I enjoy reassuring and strengthening those who are discouraged.,Dones,23,Disfruto animando y fortaleciendo a los que están desanimados.
Gifts,24,I have helped believers by guiding them to relevant portions of the Bible & praying with them.,Dones,24,He ayudado a creyentes al guiarles a porciones relevantes de la Biblia y orando con ellos.
Gifts,25,I enjoy doing practical things for people who are in need.,Dones,25,Me gusta hacer cosas prácticas para las personas que lo necesitan.
Gifts,26,I am often the first person on the scene to actually help people.,Dones,26,A menudo soy la primera persona en la escena que realmente ayuda a las personas.
Gifts,27,I give more than ten percent of my income so that kingdom work can be accomplished.,Dones,27,Doy más del diez por ciento de mis ingresos para que se pueda llevar a cabo la obra del reino.
Gifts,28,I have been able to make effective and efficient plans for accomplishing the goals of a group.,Dones,28,He sido capaz de hacer planes efectivos y eficientes para lograr las metas de un grupo.
Gifts,29,I am able to influence others to achieve a vision.,Dones,29,Soy capaz de influir en otros para lograr una visión.
Gifts,30,I am often sought out by others for advice about spiritual or personal matters.,Dones,30,A menudo otros me buscan para pedir consejo sobre asuntos espirituales o personales.
Gifts,31,I study and read quite a bit in order to learn new biblical truths.,Dones,31,Estudio y leo bastante para aprender nuevas verdades bíblicas.
Gifts,32,I tend to see whether things are right or wrong in situations.,Dones,32,Tiendo a ver si las cosas están bien o mal en las situaciones.
Gifts,33,Starting a new church or ministry is something I enjoy being part of.,Dones,33,Comenzar una nueva iglesia o ministerio es algo de lo que disfruto ser parte.
Gifts,34,I take prayer requests from others and consistently pray for them.,Dones,34,Tomo peticiones de oración de otros y oro constantemente por ellos.
Gifts,35,I enjoy building things for use in ministry.,Dones,35,Disfruto construyendo cosas para usar en el ministerio.
Gifts,36,I like finding new and fresh ways to communicate God's truth.,Dones,36,Me gusta encontrar formas nuevas y frescas de comunicar la verdad de Dios.
Gifts,37,"I have confidence in God's continuing provision and help, even in difficult times.",Dones,37,"Tengo confianza en la continua provisión y ayuda de Dios, incluso en tiempos difíciles."
Gifts,38,I enjoy entertaining people and opening my home to others.,Dones,38,Disfruto entreteniendo a la gente y abriendo mi hogar a los demás.
Gifts,39,I regularly share Jesus’ good news in a way that effectively connects with people “where they are.”,Dones,39,"Regularmente comparto las buenas nuevas de Jesús de una manera que se conecta efectivamente con las personas ""donde están""."
