ID,Question,Section,SortOrder,QuestionType,BibleRef
1,I am a loving person. I love all people unconditionally the way God loves me.,Character,1,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
2,I am a joyful person. Joy is my dominant disposition even in challenging times.,Character,2,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
3,I am a peaceful person. I experience peace internally and in most of my relationships.,Character,3,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
4,I am a patient person. I endure challenging situations without losing my composure.,Character,4,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
5,I am a kind person. I treat others with gentleness and dignity.,Character,5,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
6,I am a good person. My actions toward others are good in nature.,Character,6,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
7,I am a faithful person. People can count on me because I completely count on God.,Character,7,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
8,I am a gentle person. I am a person of strength that reserves my strength for good.,Character,8,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
9,I am a self-controlled person. I am not prone to excessive or ungodly behavior.,Character,9,likert,"But the Holy Spirit produces this kind of fruit in our lives: love joy peace patience kindness goodness faithfulness gentleness and self-control. Galatians 5:22-23"
10,I can name my top 3 Spiritual Gifts. God has given each of you a gift from his great variety of spiritual gifts. Use them well to serve one another.,Calling,1,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
11,I know the specific people or causes God wants me to serve. e.g. teenagers the homeless illiteracy single parents,Calling,2,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
12,I am currently using my top gifts to serve the people God wants me to serve. e.g. using my administrative and mercy gifts to serve a local food bank,Calling,3,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
13,I regularly see God making a difference in the lives of others as I use my gifts to serve them.,Calling,4,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
14,I experience significant joy as I use my gifts to serve others.,Calling,5,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
15,I regularly pray for people where I live work learn and play. These prayers often lead to a chance to serve and share my faith story with them.,Calling,6,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
16,I regularly see people move from spiritual indifference to faith as I serve them and share my story with them.,Calling,7,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
17,I receive consistent support and encouragement as I strive to grow in my personal calling.,Calling,8,likert,"We are God's handiwork created in Christ Jesus to do good works which God prepared in advance for us to do. - Ephesians 2:10"
