ID,Question,GPSType,QuestionType,SortOrder,PassionType,AnswerDefault,SummaryText
1,I seek opportunities to talk about spiritual matters with unbelievers.,1,1,1,,,
2,There are moments when I sense God leading me to do something specific.,1,1,2,,,
3,Studying the Bible and sharing my insights with others is very satisfying.,1,1,3,,,
4,I tend to see the potential in people.,1,1,4,,,
5,I enjoy celebrating with people in their successes and supporting them through their challenges.,1,1,5,,,
6,I enjoy bringing hope and joy to people living in difficult circumstances.,1,1,6,,,
7,I like to meet needs immediately.,1,1,7,,,
8,I like knowing that my financial support makes a real difference in God's kingdom.,1,1,8,,,
9,"I enjoy handling the details of organizing ideas, people, resources and time for more effective ministry.",1,1,9,,,
10,I am able to motivate others to accomplish a goal.,1,1,10,,,
11,I have applied spiritual truth effectively to situations in my own life.,1,1,11,,,
12,People have told me that the spiritual insights I shared with them helped move them closer to God.,1,1,12,,,
13,"I can readily distinguish between spiritual truth and error, good and evil.",1,1,13,,,
14,I would like to start churches in places where they do not presently exist.,1,1,14,,,
15,Praying for others is one of my favorite ways of spending time.,1,1,15,,,
16,"I enjoy working creatively with wood, cloth, paints, metal, glass or other materials.",1,1,16,,,
17,I find that I best communicate and understand God's truth through artistic expressions.,1,1,17,,,
18,I find it natural and easy to trust God to answer my prayers.,1,1,18,,,
19,I can make people feel at ease even in unfamiliar surroundings.,1,1,19,,,
20,I look for opportunities to build relationships with people who do not have a relationship with Jesus.,1,1,20,,,
21,People often change how they live when I share God’s truth with them.,1,1,21,,,
22,People “get it” when I explain God's word to them.,1,1,22,,,
23,I enjoy reassuring and strengthening those who are discouraged.,1,1,23,,,
24,I have helped fellow believers by guiding them to relevant portions of the Bible and praying with them.,1,1,24,,,
25,I enjoy doing practical things for people who are in need.,1,1,25,,,
26,I am often the first person on the scene to actually help people.,1,1,26,,,
27,I give more than ten percent of my income so that kingdom work can be accomplished.,1,1,27,,,
28,I have been able to make effective and efficient plans for accomplishing the goals of a group.,1,1,28,,,
29,I am able to influence others to achieve a vision.,1,1,29,,,
30,I am often sought out by others for advice about spiritual or personal matters.,1,1,30,,,
31,I study and read quite a bit in order to learn new biblical truths.,1,1,31,,,
32,I tend to see whether things are right or wrong in situations.,1,1,32,,,
33,Starting a new church or ministry is something I enjoy being part of.,1,1,33,,,
34,I take prayer requests from others and consistently pray for them.,1,1,34,,,
35,I enjoy building things for use in ministry.,1,1,35,,,
36,I like finding new and fresh ways to communicate God's truth.,1,1,36,,,
37,"I have confidence in God's continuing provision and help, even in difficult times.",1,1,37,,,
38,I enjoy entertaining people and opening my home to others.,1,1,38,,,
39,I regularly share Jesus’ good news in a way that effectively connects with people “where they are.”,1,1,39,,,
40,"I see most actions as right or wrong, and feel the need to correct the wrong.",1,1,40,,,
41,When I talk about the Bible it motivates others to study and to learn more.,1,1,41,,,
42,"I reassure those who need to take courageous action in their faith, family, or life.",1,1,42,,,
43,People have told me that I have helped them to find their way back to God.,1,1,43,,,
44,I have great compassion for people who are struggling in life.,1,1,44,,,
45,I am quick to respond when others need help.,1,1,45,,,
46,I give generously and joyfully to people in financial need or to projects requiring support.,1,1,46,,,
47,I set goals and manage people and resources effectively to accomplish them.,1,1,47,,,
48,I influence others to perform to the best of their capability.,1,1,48,,,
49,"I can often find simple, practical solutions in the midst of conflict or confusion.",1,1,49,,,
50,I have the ability to discover new truths for myself through reading or from observing situations firsthand.,1,1,50,,,
51,People often tell me that the insights I give them are very reliable.,1,1,51,,,
52,I enjoy pioneering new undertakings.,1,1,52,,,
53,I have experienced God actually helping people as I pray for them.,1,1,53,,,
54,I can visualize how something should be constructed before I build it.,1,1,54,,,
55,I help people understand themselves and God better through artistic expression.,1,1,55,,,
56,I am ready to try the impossible because I have great trust in God.,1,1,56,,,
57,I view my home as a place to minister to people in need.,1,1,57,,,
58,I communicate the gospel to others with clarity and effectiveness.,1,1,58,,,
59,I will speak God's truth even in places where it is unpopular or difficult to accept.,1,1,59,,,
60,I can share complex ideas in a way that makes it easy for people to grasp and apply to their lives.,1,1,60,,,
61,I like motivating others to take their next step of spiritual growth.,1,1,61,,,
62,I enjoy giving guidance and practical support to a small group of people.,1,1,62,,,
63,I can patiently support those going through painful experiences.,1,1,63,,,
64,I enjoy doing routine tasks that support ministry.,1,1,64,,,
65,I appreciate the opportunity to financially support a critical situation.,1,1,65,,,
66,"I like to organize people, tasks, and events.",1,1,66,,,
67,I am able to cast a vision that others want to be a part of.,1,1,67,,,
68,I can apply truths from the Bible that others regard as practical and helpful.,1,1,68,,,
69,I discover new insights when reading the Bible and people find those insights beneficial.,1,1,69,,,
70,I can tell the difference between truth and error even in complicated situations.,1,1,70,,,
71,People seem to be willing to follow my leadership without much resistance.,1,1,71,,,
72,"When I hear about needy situations, I pray.",1,1,72,,,
73,I enjoy working with my hands and people appreciate the work I do.,1,1,73,,,
